Word 1,Word 2,Human (Mean),Model Similarity
nature,man,2.9375,0.17282314598560333
network,hardware,3.8125,0.1833842247724533
news,report,6.8125,0.33074578642845154
noon,string,0.6875,0.2497047334909439
observation,architecture,1.875,0.1842244565486908
oil,stock,2.9375,0.28928935527801514
opera,industry,1.194,0.19294363260269165
opera,performance,4.875,0.2760566473007202
peace,atmosphere,2.1875,0.04198569804430008
peace,insurance,1.7565,0.27022314071655273
peace,plan,1.5,0.33574801683425903
phone,equipment,4.0315,0.1649014949798584
physics,chemistry,5.0625,0.39973145723342896
physics,proton,6.125,0.4556844234466553
plane,car,3.5625,0.4158916771411896
planet,astronomer,5.4375,0.47321245074272156
planet,constellation,4.3125,0.3658964931964874
planet,galaxy,6.125,0.36978936195373535
planet,moon,6.0,0.29553714394569397
planet,people,3.375,0.2579306960105896
planet,space,5.3125,0.19794787466526031
planet,star,5.625,0.23928605020046234
planet,sun,5.8125,0.22162343561649323
population,development,3.4755,0.3861308991909027
possibility,girl,1.069,0.26295846700668335
practice,institution,3.5625,0.37115415930747986
precedent,antecedent,4.0,0.4354513883590698
precedent,collection,1.0625,0.23322729766368866
precedent,example,5.4375,0.399916410446167
precedent,group,1.5625,0.12190879136323929
precedent,information,2.375,0.17612841725349426
precedent,law,4.375,0.3101274371147156
prejudice,recognition,3.3125,0.24469715356826782
preservation,world,2.4375,0.09974376857280731
president,medal,1.25,0.24850371479988098
problem,airport,1.3125,0.13992835581302643
problem,challenge,6.875,0.24748748540878296
production,crew,3.1875,0.1865515559911728
production,hike,0.9375,0.17064519226551056
professor,doctor,6.125,0.24136751890182495
profit,loss,3.875,0.3833611011505127
profit,warning,1.6875,0.16588136553764343
psychology,anxiety,3.75,0.3229729235172272
psychology,clinic,4.344,0.24463646113872528
psychology,depression,5.25,0.2189628779888153
psychology,discipline,3.3125,0.2446543574333191
psychology,doctor,5.294,0.013491333462297916
psychology,fear,3.1875,0.3412536084651947
psychology,health,4.3625,0.21180981397628784
psychology,mind,5.4375,0.19257521629333496
psychology,psychiatry,6.9375,0.4251210689544678
psychology,science,5.9505,0.46394118666648865
reason,criterion,4.625,0.24411755800247192
record,number,3.5,0.15192028880119324
registration,arrangement,3.4375,0.1586320698261261
report,gain,2.25,0.2402976155281067
rock,jazz,5.5,0.22182013094425201
rooster,voyage,0.9375,0.24754659831523895
school,center,3.875,0.27079087495803833
seafood,food,6.875,0.17757563292980194
seafood,lobster,6.9375,0.4150278866291046
seafood,sea,5.375,0.04204558953642845
secretary,senate,3.75,0.4236758053302765
seven,series,2.25,0.28980064392089844
shore,woodland,1.625,0.3872879147529602
shower,flood,3.5625,0.23135562241077423
sign,recess,1.5065,0.22045621275901794
situation,conclusion,3.5625,0.33312731981277466
situation,isolation,1.9375,0.3392585217952728
size,prominence,3.75,0.18329176306724548
skin,eye,2.75,0.23850706219673157
smart,student,3.625,0.10112296789884567
smart,stupid,3.25,0.37547826766967773
soap,opera,3.5625,0.22731177508831024
space,chemistry,1.8875,0.3055271804332733
space,world,4.9375,0.18692100048065186
start,match,2.5,0.1876513957977295
start,year,1.625,0.26827871799468994
stock,egg,1.4375,0.17912651598453522
stock,jaguar,0.9375,0.07030756771564484
stock,life,1.8125,0.06839899718761444
stock,live,1.875,-0.0038901660591363907
stock,market,4.875,0.3283059298992157
stock,phone,0.75,0.16815981268882751
street,avenue,7.6875,0.4358004331588745
street,block,6.5625,0.4016355872154236
street,children,1.294,0.03297814354300499
street,place,4.5,0.2349623143672943
stroke,hospital,3.625,0.22201882302761078
student,professor,4.9375,0.3596419095993042
sugar,approach,0.9375,0.05315086990594864
summer,drought,3.3125,0.3265382945537567
summer,nature,4.0,0.054417990148067474
telephone,communication,6.6875,0.19457945227622986
television,film,5.75,0.19017957150936127
television,radio,4.625,0.19900260865688324
tennis,racket,5.0,0.1711665391921997
territory,kilometer,2.1875,0.34773334860801697
territory,surface,3.594,0.31223830580711365
theater,history,1.9375,0.36743593215942383
tiger,animal,6.9375,0.039145320653915405
tiger,cat,6.75,0.23299257457256317
tiger,fauna,3.4375,0.40637651085853577
tiger,feline,5.0625,0.24869978427886963
tiger,jaguar,5.75,0.3113810420036316
tiger,mammal,6.25,0.3357009291648865
tiger,organism,3.0625,0.3024289011955261
tiger,tiger,10.0,0.9999997615814209
tiger,zoo,4.9375,0.3490270972251892
tool,implement,5.3125,0.28235602378845215
train,car,3.5,0.35817182064056396
travel,activity,4.1875,0.11287106573581696
treatment,recovery,5.3125,0.3896765112876892
type,kind,8.4375,0.41675665974617004
victim,emergency,2.6875,0.2710477411746979
viewer,serial,2.5625,0.21591350436210632
volunteer,motto,1.3815,0.3073415160179138
war,troops,6.375,0.26333972811698914
water,seepage,3.875,0.3639998435974121
weapon,secret,2.5,0.3384755849838257
weather,forecast,5.4375,0.019982140511274338
wood,forest,7.9375,0.2709213197231293
word,similarity,0.8125,0.05766663700342178
