Word 1,Word 2,Human (Mean),Model Similarity
football,tennis,3.6875,0.6988657712936401
forest,graveyard,1.394,0.6706274151802063
fuck,sex,8.25,0.839793860912323
furnace,stove,8.0625,0.7928006052970886
game,defeat,3.6875,0.7708067297935486
game,round,5.1875,0.8401841521263123
game,series,4.5625,0.8441696166992188
game,team,4.625,0.8683525919914246
game,victory,4.6875,0.8632038235664368
glass,magician,1.0,0.8189773559570312
glass,metal,2.1875,0.8797386884689331
government,crisis,3.625,0.10268959403038025
governor,interview,1.625,0.3746236562728882
governor,office,4.3125,0.6395737528800964
grocery,money,3.375,0.6557919979095459
holy,sex,1.069,0.8989649415016174
hotel,reservation,5.0625,0.1046912744641304
hundred,percent,4.4375,0.33992302417755127
image,surface,1.8125,0.7409074902534485
investigation,effort,3.75,0.7234206199645996
jaguar,car,5.3125,0.5842962265014648
jaguar,cat,6.4375,0.401136577129364
journal,association,2.625,0.7229087352752686
journey,car,4.0625,0.3847846984863281
journey,voyage,7.5,0.49916815757751465
king,cabbage,0.625,0.9698854088783264
king,queen,5.6875,0.9515302777290344
lad,brother,4.9375,0.7854733467102051
lad,wizard,1.6875,0.8615427017211914
law,lawyer,6.1875,0.6310594081878662
lawyer,evidence,3.9375,0.6980908513069153
liability,insurance,4.375,0.4136015474796295
life,death,4.375,0.5682061910629272
life,lesson,3.1875,0.04796609282493591
life,term,3.8125,0.11597669869661331
line,insurance,1.3125,0.49805718660354614
liquid,water,7.0625,0.2115892469882965
listing,category,5.375,0.6531614065170288
listing,proximity,1.4375,0.6199602484703064
love,sex,6.375,0.822245717048645
lover,quarrel,1.6875,0.648040771484375
luxury,car,3.3125,0.4330248236656189
magician,wizard,7.6875,0.8322129249572754
man,governor,4.25,0.143548384308815
man,woman,4.5,0.4395279586315155
media,gain,1.375,0.45322906970977783
media,radio,6.4375,0.692160964012146
media,trading,1.8125,0.716672956943512
midday,noon,8.9375,0.3754291236400604
mile,kilometer,6.9375,0.617052435874939
minister,party,3.0625,0.8716877698898315
ministry,culture,2.844,0.530380368232727
minority,peace,1.1875,0.467495858669281
money,bank,6.0,0.6959432363510132
money,cash,8.875,0.5943806767463684
money,cash,9.0315,0.5943806767463684
money,currency,7.9375,0.3558867573738098
money,deposit,5.375,0.5449380874633789
money,dollar,7.6875,0.6590204834938049
money,laundering,4.4565,0.07230617105960846
money,operation,1.875,0.7054319977760315
money,possession,4.3125,0.5300193428993225
money,property,5.0625,0.7352926731109619
money,wealth,7.0625,0.49241480231285095
money,withdrawal,4.0625,0.23054863512516022
monk,slave,2.5625,0.6201374530792236
month,hotel,1.0625,0.3901482820510864
morality,importance,2.5,0.6035603880882263
morality,marriage,2.375,0.6835006475448608
movie,critic,3.1875,0.8701918125152588
movie,star,4.3125,0.829656183719635
movie,theater,6.125,0.7228920459747314
murder,manslaughter,7.5,0.19849291443824768
museum,theater,3.875,0.7136807441711426
music,project,3.1875,0.8211149573326111
nature,environment,6.9375,0.7539964914321899
nature,man,2.9375,0.4483042359352112
network,hardware,3.8125,0.3851662576198578
news,report,6.8125,0.8607622981071472
noon,string,0.6875,0.6659783720970154
observation,architecture,1.875,0.7834952473640442
oil,stock,2.9375,0.5012308359146118
opera,industry,1.194,0.5185440182685852
opera,performance,4.875,0.8257657885551453
peace,atmosphere,2.1875,0.6753987669944763
peace,insurance,1.7565,0.47630858421325684
peace,plan,1.5,0.6076949834823608
phone,equipment,4.0315,0.6814379692077637
physics,chemistry,5.0625,0.4194721281528473
physics,proton,6.125,0.14144091308116913
plane,car,3.5625,0.6081491708755493
planet,galaxy,6.125,0.36997950077056885
planet,moon,6.0,0.44784659147262573
planet,people,3.375,0.07540242373943329
planet,space,5.3125,0.3298543691635132
planet,star,5.625,0.4717182517051697
planet,sun,5.8125,0.45015326142311096
population,development,3.4755,0.617263913154602
possibility,girl,1.069,0.6047342419624329
practice,institution,3.5625,0.8202049136161804
precedent,collection,1.0625,0.10268096625804901
precedent,example,5.4375,0.18191394209861755
precedent,group,1.5625,0.2061828225851059
precedent,information,2.375,0.3249126672744751
precedent,law,4.375,0.17704090476036072
prejudice,recognition,3.3125,0.27327632904052734
preservation,world,2.4375,0.1336708664894104
president,medal,1.25,0.1716366410255432
problem,airport,1.3125,0.6502792835235596
problem,challenge,6.875,0.6937940120697021
production,crew,3.1875,0.7206564545631409
production,hike,0.9375,0.030917411670088768
professor,doctor,6.125,0.8383976817131042
profit,loss,3.875,0.6907081604003906
profit,warning,1.6875,0.45392781496047974
psychology,anxiety,3.75,0.8050055503845215
psychology,clinic,4.344,0.9452074766159058
psychology,depression,5.25,0.7513748407363892
psychology,discipline,3.3125,0.9220457077026367
psychology,doctor,5.294,0.8031500577926636
psychology,fear,3.1875,0.8199126720428467
psychology,health,4.3625,0.6104013919830322
psychology,mind,5.4375,0.6262293457984924
psychology,psychiatry,6.9375,0.016591811552643776
psychology,science,5.9505,0.8415089249610901
reason,criterion,4.625,0.4930964708328247
record,number,3.5,0.11228424310684204
registration,arrangement,3.4375,0.11328857392072678
report,gain,2.25,0.4712734520435333
rock,jazz,5.5,0.7555608153343201
rooster,voyage,0.9375,0.2645796835422516
school,center,3.875,0.1655387133359909
seafood,food,6.875,0.7424649000167847
seafood,sea,5.375,0.8686707615852356
secretary,senate,3.75,0.43515804409980774
seven,series,2.25,0.71878981590271
shower,flood,3.5625,0.34377291798591614
situation,conclusion,3.5625,0.5909351706504822
situation,isolation,1.9375,0.17791511118412018
size,prominence,3.75,0.07386085391044617
skin,eye,2.75,0.9159613847732544
smart,student,3.625,0.5484355688095093
smart,stupid,3.25,0.7455456256866455
soap,opera,3.5625,0.7168176174163818
space,chemistry,1.8875,0.4450618028640747
space,world,4.9375,0.16795295476913452
start,match,2.5,0.6415230631828308
start,year,1.625,0.2428746521472931
stock,egg,1.4375,0.4130602478981018
stock,jaguar,0.9375,0.4410061836242676
stock,life,1.8125,0.08463911712169647
stock,live,1.875,0.46121838688850403
stock,market,4.875,0.642589807510376
stock,phone,0.75,0.44577881693840027
street,avenue,7.6875,0.9177727699279785
street,block,6.5625,0.914994478225708
street,children,1.294,0.5792555212974548
street,place,4.5,0.1529434323310852
stroke,hospital,3.625,0.5190046429634094
student,professor,4.9375,0.6212756633758545
sugar,approach,0.9375,0.8701972961425781
summer,drought,3.3125,0.03996667265892029
summer,nature,4.0,0.8057370185852051
telephone,communication,6.6875,0.6342771053314209
television,film,5.75,0.8662373423576355
television,radio,4.625,0.7862755060195923
tennis,racket,5.0,0.0049285851418972015
territory,kilometer,2.1875,0.019287802278995514
territory,surface,3.594,0.4066908359527588
theater,history,1.9375,0.6562588810920715
tiger,animal,6.9375,0.8483229279518127
tiger,cat,6.75,0.425837904214859
tiger,jaguar,5.75,0.8309783935546875
tiger,organism,3.0625,0.9675116539001465
tiger,tiger,10.0,1.0000001192092896
tiger,zoo,4.9375,0.8522309064865112
tool,implement,5.3125,0.025861265137791634
train,car,3.5,0.5934069156646729
travel,activity,4.1875,0.33055129647254944
treatment,recovery,5.3125,0.3770604431629181
type,kind,8.4375,0.8332179188728333
victim,emergency,2.6875,0.8109518885612488
viewer,serial,2.5625,0.00477915583178401
volunteer,motto,1.3815,0.055557407438755035
war,troops,6.375,0.15352068841457367
weapon,secret,2.5,0.09835945814847946
weather,forecast,5.4375,0.8238741159439087
wood,forest,7.9375,0.6306654214859009
word,similarity,0.8125,0.5285285711288452
