Word 1,Word 2,Human (Mean),Model Similarity
equipment,maker,2.5625,0.4403298497200012
exhibit,memorabilia,4.625,-0.0403018444776535
experience,music,2.3125,0.37105464935302734
family,planning,1.75,0.1891786903142929
fertility,egg,5.1875,0.17336350679397583
fighting,defeating,5.5,0.19945815205574036
five,month,1.069,0.4394117295742035
focus,life,2.3125,0.35997509956359863
food,fruit,7.0625,0.03689057007431984
food,preparation,3.75,0.5049657821655273
food,rooster,2.5625,-0.05087938904762268
football,basketball,4.125,0.3861750364303589
football,soccer,8.5625,0.4022737443447113
football,tennis,3.6875,0.5925467610359192
forest,graveyard,1.394,0.022340986877679825
fuck,sex,8.25,0.45950037240982056
furnace,stove,8.0625,0.47637176513671875
game,defeat,3.6875,0.46588730812072754
game,round,5.1875,0.4299296438694
game,series,4.5625,0.3807916045188904
game,team,4.625,0.5546081066131592
game,victory,4.6875,0.5312356352806091
gem,jewel,8.375,0.7724875807762146
gender,equality,3.4375,0.3986266255378723
glass,magician,1.0,0.1256440430879593
glass,metal,2.1875,0.7090030908584595
government,crisis,3.625,0.299174040555954
governor,interview,1.625,0.19918611645698547
governor,office,4.3125,0.5201066732406616
grocery,money,3.375,0.19793930649757385
holy,sex,1.069,0.257445752620697
hotel,reservation,5.0625,0.49520236253738403
hundred,percent,4.4375,0.41025596857070923
image,surface,1.8125,0.5168066024780273
impartiality,interest,1.875,-0.3355335295200348
investigation,effort,3.75,0.29469287395477295
investor,earning,5.0625,0.31711459159851074
jaguar,car,5.3125,0.5588501691818237
jaguar,cat,6.4375,0.6380977630615234
journal,association,2.625,0.5051748752593994
journey,car,4.0625,0.3711480498313904
journey,voyage,7.5,0.6475424766540527
king,cabbage,0.625,0.15404006838798523
king,queen,5.6875,0.44720128178596497
lad,brother,4.9375,0.3620699644088745
lad,wizard,1.6875,0.12465697526931763
law,lawyer,6.1875,0.4923848509788513
lawyer,evidence,3.9375,0.20887425541877747
liability,insurance,4.375,0.6636347770690918
life,death,4.375,0.3111339211463928
life,lesson,3.1875,0.39170077443122864
life,term,3.8125,0.15996523201465607
line,insurance,1.3125,0.18028779327869415
liquid,water,7.0625,0.4840151369571686
listing,category,5.375,-0.012407928705215454
listing,proximity,1.4375,0.2945106625556946
lobster,food,5.75,-0.2487691044807434
lobster,wine,2.375,-0.024650538340210915
love,sex,6.375,0.27553683519363403
lover,quarrel,1.6875,0.4130179286003113
luxury,car,3.3125,0.1927734911441803
magician,wizard,7.6875,0.16805875301361084
man,governor,4.25,0.23189453780651093
man,woman,4.5,0.6056396961212158
media,gain,1.375,0.5911126732826233
media,radio,6.4375,0.5861861109733582
media,trading,1.8125,0.4937881827354431
midday,noon,8.9375,0.4834264814853668
mile,kilometer,6.9375,0.5639371871948242
minister,party,3.0625,0.5189306139945984
ministry,culture,2.844,0.4117186963558197
minority,peace,1.1875,0.3086332082748413
money,bank,6.0,0.34832653403282166
money,cash,8.875,0.5789919495582581
money,cash,9.0315,0.5789919495582581
money,currency,7.9375,0.27533066272735596
money,deposit,5.375,0.21127116680145264
money,dollar,7.6875,0.41034603118896484
money,laundering,4.4565,-0.013479078188538551
money,operation,1.875,0.43174585700035095
money,possession,4.3125,0.333773136138916
money,property,5.0625,0.5365978479385376
money,wealth,7.0625,0.2677040696144104
money,withdrawal,4.0625,0.3247451186180115
monk,oracle,2.5625,0.5953035354614258
monk,slave,2.5625,0.2236780822277069
month,hotel,1.0625,0.4992917478084564
morality,importance,2.5,0.7072417736053467
morality,marriage,2.375,0.2397405207157135
movie,critic,3.1875,0.34331968426704407
movie,star,4.3125,0.21657057106494904
movie,theater,6.125,0.5925842523574829
murder,manslaughter,7.5,0.5218522548675537
museum,theater,3.875,0.6061124205589294
music,project,3.1875,-0.0731721743941307
nature,environment,6.9375,0.7697001099586487
nature,man,2.9375,0.44394826889038086
network,hardware,3.8125,0.34453827142715454
news,report,6.8125,0.6152511835098267
noon,string,0.6875,0.6770372986793518
observation,architecture,1.875,0.07955840229988098
oil,stock,2.9375,0.428114116191864
opera,industry,1.194,0.15610459446907043
opera,performance,4.875,0.25115737318992615
peace,atmosphere,2.1875,0.10476148128509521
peace,insurance,1.7565,0.09339539706707001
peace,plan,1.5,0.38749945163726807
phone,equipment,4.0315,-0.026823457330465317
physics,chemistry,5.0625,0.5115066766738892
physics,proton,6.125,0.13709792494773865
plane,car,3.5625,0.45609021186828613
planet,astronomer,5.4375,0.5043849945068359
planet,constellation,4.3125,-0.06977660953998566
planet,galaxy,6.125,0.5795880556106567
planet,moon,6.0,0.5894240140914917
planet,people,3.375,0.3937656283378601
planet,space,5.3125,0.37799277901649475
planet,star,5.625,0.31905651092529297
planet,sun,5.8125,0.4479336142539978
population,development,3.4755,0.5944370627403259
possibility,girl,1.069,0.17634913325309753
practice,institution,3.5625,0.47826629877090454
precedent,antecedent,4.0,0.319667249917984
precedent,collection,1.0625,-0.1495460718870163
precedent,example,5.4375,0.3817630708217621
precedent,group,1.5625,0.09379717707633972
precedent,information,2.375,0.3366278111934662
precedent,law,4.375,0.4601144790649414
prejudice,recognition,3.3125,0.37217557430267334
preservation,world,2.4375,0.0844915360212326
president,medal,1.25,0.012747008353471756
problem,airport,1.3125,0.2893950641155243
problem,challenge,6.875,0.3358681797981262
production,crew,3.1875,0.26738259196281433
production,hike,0.9375,0.48279184103012085
professor,doctor,6.125,0.03875342011451721
profit,loss,3.875,0.3614042401313782
profit,warning,1.6875,0.22299396991729736
psychology,anxiety,3.75,0.2163638472557068
psychology,clinic,4.344,0.15717792510986328
psychology,depression,5.25,0.36153286695480347
psychology,discipline,3.3125,0.11739447712898254
psychology,doctor,5.294,0.08228763937950134
psychology,fear,3.1875,0.23607945442199707
psychology,health,4.3625,0.29814162850379944
psychology,mind,5.4375,0.29248103499412537
psychology,psychiatry,6.9375,0.16755472123622894
psychology,science,5.9505,0.4010937809944153
reason,criterion,4.625,0.4650271534919739
record,number,3.5,0.3654167354106903
registration,arrangement,3.4375,0.17597270011901855
report,gain,2.25,0.13684266805648804
rock,jazz,5.5,-0.019587960094213486
rooster,voyage,0.9375,-0.055116645991802216
school,center,3.875,0.2246682345867157
seafood,food,6.875,0.15328800678253174
seafood,lobster,6.9375,-0.3646678030490875
seafood,sea,5.375,0.19650472700595856
secretary,senate,3.75,0.6485174894332886
seven,series,2.25,0.4014919400215149
shore,woodland,1.625,0.2831554114818573
shower,flood,3.5625,0.23475292325019836
sign,recess,1.5065,-0.25595715641975403
situation,conclusion,3.5625,0.35776811838150024
situation,isolation,1.9375,0.3814167380332947
size,prominence,3.75,0.4432884156703949
skin,eye,2.75,0.4960876703262329
smart,student,3.625,0.26660028100013733
smart,stupid,3.25,0.2714386582374573
soap,opera,3.5625,0.15742738544940948
space,chemistry,1.8875,0.35348546504974365
space,world,4.9375,0.12048274278640747
start,match,2.5,0.21278199553489685
start,year,1.625,0.385733038187027
stock,egg,1.4375,0.2501039505004883
stock,jaguar,0.9375,0.269338995218277
stock,life,1.8125,-0.03799638897180557
stock,live,1.875,0.05708587169647217
stock,market,4.875,0.6877671480178833
stock,phone,0.75,0.030624544247984886
street,avenue,7.6875,0.7034109830856323
street,block,6.5625,0.5869474411010742
street,children,1.294,0.0756705105304718
street,place,4.5,0.30522239208221436
stroke,hospital,3.625,0.35951367020606995
student,professor,4.9375,0.39625245332717896
sugar,approach,0.9375,0.03565341606736183
summer,drought,3.3125,0.3853232264518738
summer,nature,4.0,-0.158673495054245
telephone,communication,6.6875,-0.04762978106737137
television,film,5.75,0.10049170255661011
television,radio,4.625,0.47731921076774597
tennis,racket,5.0,-0.10018351674079895
territory,kilometer,2.1875,0.3580966591835022
territory,surface,3.594,0.2905804514884949
theater,history,1.9375,0.3198747932910919
tiger,animal,6.9375,0.2226014882326126
tiger,cat,6.75,0.29251688718795776
tiger,fauna,3.4375,0.510871410369873
tiger,feline,5.0625,-0.18140803277492523
tiger,jaguar,5.75,0.5518509745597839
tiger,mammal,6.25,0.5005519986152649
tiger,organism,3.0625,0.3968779444694519
tiger,tiger,10.0,1.0
tiger,zoo,4.9375,0.6085287928581238
tool,implement,5.3125,0.3449954390525818
train,car,3.5,0.4909884035587311
travel,activity,4.1875,0.24794204533100128
treatment,recovery,5.3125,0.6231003999710083
type,kind,8.4375,0.2893424928188324
victim,emergency,2.6875,-0.059763453900814056
viewer,serial,2.5625,0.04740939661860466
volunteer,motto,1.3815,0.20072996616363525
war,troops,6.375,0.4077683091163635
water,seepage,3.875,0.467702716588974
weapon,secret,2.5,0.29739493131637573
weather,forecast,5.4375,0.22197991609573364
wood,forest,7.9375,0.5382863283157349
word,similarity,0.8125,0.28797855973243713
